Usuario,Comentarios
RaccoonD,484
Lopr1621,444
Fixion01,422
Ruganko,352
Sheppardino,306
ReadySteadyGoA,302
riiott2,293
Not_Kangrejo,286
nekoql,282
polloillo,262
NiaMPL,252
Harkoncito,230
Gustaven-hungan,207
xzinik,202
ctuna89,200
Paltamachine,198
SaintTomasPepe,184
JPVita,181
Lo_Innombrable,171
coringas,159
Larva_Astral,147
gabrielburric,138
FeanDoe,129
A_chinche_cinetico,123
Laki-tu,122
Grim0508,121
Hanneman_213,118
Shingocrates,114
Educational-Maximum3,112
Bl4nkface,110
inviernoruso,108
zenkeep,107
Dev0Null0,105
Encrypted-Doggo,102
zurizuricata,101
mayocaserarica,99
BeeMovieApologist,99
estaweamesupera,99
AnyResponsibility2,97
xascoberto,97
notquiteteemo,95
luchoventas,94
OozingPositron,83
macana144,81
ElweonIsekai,80
naxomaster,80
blindmodz,79
Otaninn,77
aprenderanadar,77
Agente-Libre,74
FullSatisfaction6359,71
nevados_de_chillan,70
Milcaos,69
Imbecilgracioso,69
Tierrrez,68
60nz,68
Chiefrockacl,68
Zonru,68
malafar,67
Gatosoo,65
Sopaipisaurio,62
ph1406,61
matydragon_20,60
DonPichulas34,59
tecito_earl_gray,57
loica_enojada,55
fetuccini_slayer,55
nomecreai,53
Kaminoan,53
pera1613,53
GalletonJunaeb,51
bolmer,50
bob_patino,50
maddowizardoo,49
IUpperDeckedMyself,48
soelita,48
Acrobatic-Artist9730,48
cubesato,47
MariaJoseBlanchester,46
shakaritahermandad,46
Tigre_Obeso,45
proletarianpanzer,45
brown-guitar,45
Lordpeos,44
dgo792,44
leviatanCL,44
iloveseries_,43
FinchoDS,43
Kleint_Aristotelicus,42
Choice__Technician,42
Zetsubou__666,41
euhna,41
NinjalaS1Player,41
Shot-Statement-6772,40
All-Your-Base,39
Antares_de_la_Luz,39
MinaDawngate,36
slaucsap,35
mr_homerone,35
Miguelonchox,35
viruta2021,34
Andi_Jones,34
Soulless911,34
Mrquest_10293847,34
keinRennrad,33
Euclid_Class_Object,33
EducationalBoat5785,33
serastronomical,33
comadre_lola,32
dkease,31
una__paloma,31
mimomentohallegado,31
Kiwiofhell,30
makzk,30
that_lonely_bi,29
StrikeKey101,29
N4x00,29
97_mechanix,28
vvvpqsw,28
Putotunel,28
kurob4,27
Snicky_cos,26
DiegoIRR,26
sfl_,26
Rakzien,25
pitter_patterclock,25
HombreContrafactual,25
Contertulio,25
sin_ese,25
FLB1,24
NoisiN,24
tazonconcafe,24
Blubari,24
JaqenStark,24
shap2,23
atunmayo,23
Adventurous-Cup5095,23
masfruta,23
laquecuelga,23
corderituwu,23
Lain_u,23
gatoshico,22
chosen_carrot,22
BufferUnderpants,22
aChileanDude,22
bizarref00l,22
tacnobac,22
InfinityRoundCycle,21
CMuenzen,21
Bman1465,21
orosoli,21
Charlotte_Vincent,21
StrangeSemiticLatin2,20
ZIIcvy,20
WhiteMeovv,20
bopboph,20
Cuero_del_awa,20
Ciscner,20
Reyske,19
sexooooooooooo__,19
Desprolijo,19
Opazo-cl,19
ph21,18
WhoKnowsWhatMatters,18
alvarorc1,18
jonfuv,18
HushedTurtle,18
sedapemu,17
ctccl,17
fukami-rose,17
MutedMime05,17
comoaprender,17
Mischungg,17
Gabriel_AEROSPACE,16
Fun-Moose-4676,16
NegociacionColectiva,16
KidTFT,16
pierdesporfumar,16
fenixbalol,16
prffg57,16
_supernova-,16
rChileRandomBot,15
HirumaBSK,15
andyvc97,15
Potential_Peanut3907,15
Ferchuux23,15
SrHuev0n,15
RandyCoxburn,15
ipurge123,15
truth_sentinell,15
noff01,15
chiledoesntexist,14
LordVelaryon,14
AxelLAG,14
Mr-Black_,14
camilosk8er,14
Patoqta,14
darthdeckard,13
Joze525,13
VioladorDePudus,13
Alfajorero,13
79BEEVL,12
Nachho,12
Accomplished-Job-604,12
Mari_Chiweu,12
Peroroncino-sama,12
i-love-cripi,12
yaiay,12
nofuture23234,12
TryHarderino,12
CLobo,12
Dismal_Comparison122,12
murloc_reporonga,12
Lihnista,11
Jocta,11
Fidozip,11
DragonPapaFrita,11
charlybadulaque,11
TremendoAfro,11
FLAITEINTERNACIONAL,11
way2menace,11
Giuseppe_Stallini,11
lucyferzyr,11
ULTZwWfD,10
thealterlion,10
leche-dsps-cereal,10
AtunEnLomitos,10
creativityNAME,10
realidadg,10
SirParticular8003,10
blackbunny09,10
NoMeEncuentro,10
CuantaSerendipia,10
4wut_its_worth,9
ro_gonto94,9
sebakjal,9
pipexclon,9
Nemesis2299,9
MarGatoRueda,9
Dogo-cat,9
paulipeach,9
kontemplador,8
ElSobe,8
varnor1,8
Kinetikkubagu,8
ProximoPresidente,8
Equivalent_Scholar32,8
_donnadie_,8
Josema94,8
chkdsk_7,8
