Usuario,Comentarios
Fixion01,180
Lo_Innombrable,114
inviernoruso,111
ReadySteadyGoA,97
Harkoncito,97
riiott2,95
nekoql,94
xzinik,94
zenkeep,93
RaccoonD,93
Larva_Astral,87
GalletonJunaeb,86
Shot-Statement-6772,83
blindmodz,74
Kiwiofhell,72
Paltamachine,69
sin_ese,64
Gustaven-hungan,64
estaweamesupera,63
Not_Kangrejo,58
ozzraven,56
macana144,55
Lopr1621,54
A_chinche_cinetico,51
Hanneman_213,50
FeanDoe,48
Educational-Maximum3,45
Bl4nkface,43
zurizuricata,42
NiaMPL,42
maddowizardoo,41
bolmer,39
matydragon_20,38
Agente-Libre,38
JPVita,38
DonPichulas34,37
BeeMovieApologist,37
Sheppardino,37
xascoberto,36
fetuccini_slayer,36
notquiteteemo,36
KidTFT,35
polloillo,35
Grim0508,34
ctuna89,34
Shingocrates,34
Kleint_Aristotelicus,34
Zonru,33
Tierrrez,32
Laki-tu,32
AnyResponsibility2,32
nevados_de_chillan,32
atunmayo,31
Sopaipisaurio,30
Rooftop_marraqueta,30
sfl_,29
CuantaSerendipia,29
HombreContrafactual,29
leviatanCL,29
keinRennrad,28
Antares_de_la_Luz,28
luchoventas,28
SaintTomasPepe,28
Putotunel,27
Choice__Technician,26
viruta2021,26
Chiefrockacl,25
coringas,25
sexooooooooooo__,25
IUpperDeckedMyself,24
naxomaster,24
Encrypted-Doggo,23
una__paloma,23
Tigre_Obeso,22
Nachho,22
mayocaserarica,22
loica_enojada,21
Dev0Null0,21
vvvpqsw,21
All-Your-Base,21
dkease,20
Zetsubou__666,20
Anti_Progres,20
tacnobac,19
dgo792,18
ElweonIsekai,18
OozingPositron,18
97_mechanix,18
NinjalaS1Player,18
FinchoDS,17
corderituwu,16
fenixbalol,16
pitter_patterclock,16
Acrobatic-Artist9730,16
unatarde,16
Mrquest_10293847,16
RandyCoxburn,16
Gatosoo,16
Cl_z0mb1e,16
sedapemu,15
AtunEnLomitos,15
nashoramosxd,15
6d656c6c6f,15
Ciscner,14
MinaDawngate,14
79BEEVL,14
Potential_Peanut3907,14
chosen_carrot,14
cubesato,14
euhna,14
blackbunny09,14
Lucky_random_ness,14
chiledoesntexist,13
FLB1,13
alvarorc1,13
Ovejilla,13
aprenderanadar,13
MrTonino,13
_SoYos,13
_supernova-,12
slaucsap,12
WhiteMeovv,12
PeriRana,12
Miguelonchox,12
Patoqta,12
Pesebreqlo,11
jipjapjup,11
GinTonicWithCucumber,11
tazonconcafe,11
Chilean_Chargaff,11
Gabriel_AEROSPACE,11
BagajeCultural,11
ph1406,10
malafar,10
kurob4,10
shakaritahermandad,10
comoaprender,9
DiegoIRR,9
Charlotte_Vincent,9
comadre_lola,9
StrikeKey101,9
proletarianpanzer,9
Low_Second7050,9
pipexclon,9
L_I_L_B_O_A_T_4_2_0,9
60nz,8
NoMeEncuentro,8
Opazo-cl,8
BufferUnderpants,8
Blubari,8
InfinityRoundCycle,8
BeWolk,8
aChileanDude,8
AxelLAG,7
brown-guitar,7
Elchalecodelana,7
tecito_earl_gray,7
ZIIcvy,7
PabloHonorato,7
Yennefer1991,7
Kondor0,7
kardashev,7
fragmentss_kek,7
DontKnowHowToEnglish,7
cafeengrano,7
FullSatisfaction6359,7
Johnny1392,6
nomecreai,6
TremendoAfro,6
ElSobe,6
Zafiquel,6
pera1613,6
serastronomical,6
tatemblando,6
Frohslol,6
NegociacionColectiva,6
rochops,6
cyansun,6
ivanmsc,6
mimomentohallegado,6
Gonpachiro-,6
kraysak,6
Eiol01,6
Fun-Moose-4676,6
peronohaypolillas,6
Snicky_cos,6
gaboemi,6
ToTheNintieth,6
main_lux,6
leche-dsps-cereal,6
mclannee,6
Mr-Black_,5
EducationalBoat5785,5
moreAidsplease42,5
ctccl,5
RockyHeart,5
Felaipes,5
varnor1,5
renewedanarchist,5
CLobo,5
that_lonely_bi,5
chalecomono,5
javier_aeoa,5
Joze525,5
fukami-rose,5
ichox,5
International-Tree19,5
yaiay,5
pamparapampam,5
Otaninn,5
PickadillosJones,5
ShatteredGold,5
DragonPapaFrita,5
deandotcom,5
iloveseries_,5
NoisiN,5
nofuture23234,5
ProximoPresidente,5
paulipeach,5
bob_patino,5
nejok,5
Andi_Jones,4
rChileRandomBot,4
RoIgn92,4
NNorAl,4
TMCamilo,4
sebakjal,4
Glittering_Pumpkin24,4
byokx,4
d8354af7,4
pierdesporfumar,4
mequierocortarlatula,4
HansWolken,4
Latter_Particular_97,4
jovencefalea,4
truth_sentinell,4
rhapsowacho,4
Gordohediondo,4
agnostic_ent,4
agitazione,4
Manomana-cl,4
Lordpeos,4
3v1lrob07,4
Apprehensive-Shop471,4
sebaniko93,4
Nice-Distribution526,4
